0918_mao_o	901361731158528000	226	6	972424423251656705	山本茉央
2430rurina_G	2958066104	3230	241	972711413864054784	西澤瑠莉奈
30_mio_0517	857495973446078464	809	30	972594642456797184	朝長美桜
345__chan	2346809580	2536	54	972322980935057408	指原莉乃
39saku_chan	768405521757974532	399	18	972471100058685440	宮脇咲良
48gjp	2459345382	1856	0	963652048775536640	握手会友の会
4shino_iwahana1	900744552545255426	653	35	972334156305784834	岩花詩乃
730myao	169382946	1038	10	971360315068760064	宮崎美穂
912_komiharu	782103036613136384	574	18	972444610780803077	込山榛香
AKB48Mobile	251570503	1346	44	972279628265021441	AKB48 Mobile
AKB48_LODstaff	4486958526	3862	0	972698842326904832	AKB48撮影
AKB48groupshop	3064712598	2194	2	972081090297872385	AKB48 Group Shop
Ayamelody0817	834233354069241856	465	16	972610480534466560	太田彩夏
Emika_Kamieda	2857230752	3131	46	892038599499067393	上枝恵美加
HKT48Mobile	2328221845	322	1	967607383064285184	HKT48 Mobile
ICECREAMFUKO	3037251684	4619	128	972041415596244992	矢倉楓子
IckwMnm0826	803486494967009280	842	21	972700509080510464	市川愛美
Inoueruka_48	900380281412100096	359	4	972719766866509824	井上瑠夏
JURINA38G	706826757500866560	2534	108	972474828451069952	松井珠理奈
MIYOMARUKO	899273512262615041	313	8	972685360835657729	野村実代
M_Hana119	900887663225430017	428	12	972454146832912384	松岡はな
Nakano_Reina1M	3222149263	3271	170	971967021192683521	中野麗来
ODAchan_hkt48	901101946055999491	486	25	972462099845689344	小田彩加
RChikanoJKT48	2227957579	1411	23	972503306353262593	近野莉菜
RENAN0ZAWA	432689276	1356	59	971719783350550528	野澤玲奈
Rie_Kitahara3	2265524971	2366	21	972483927536386049	北原里英
Rinacchi_NMB48	3221439750	6595	290	972474977965387776	久代梨奈
Rioshimizu	900997762770063360	87	1	972020846389690368	清水梨央
SKE48CAFESHOP	905391800	409	0	924138341552943104	SKE48 Cafe Shop
SKE48_YUASA	455216497	4411	621	972697083164557312	湯浅洋
STU48_official_	817198766222548993	1488	17	972684853459140610	STU48
SayakaNeon	2847742519	2042	59	972490612329951237	山本彩
UI__MASHIRO	900957970497916928	179	6	963761263393234945	宇井真白
Yamada_Juna	809646243911581696	139	0	968865824353103872	山田樹奈
Yui_yoko1208	2292265376	2390	19	972333390249705472	横山由依
Yukiriiiin__K	2596484922	2493	49	972344035678416896	柏木由紀
_Airi_Tanigawa	2857486933	4163	157	972623153955405825	谷川愛梨
_Nagisa_Shibuya	2866161829	4719	430	972684346086707200	渋谷凪咲
_yoshida_akari	2857743998	4418	99	972099046541221888	吉田朱里
akane29_o8o	3222118555	4166	128	972682388126892032	高柳明音
akari_0711	3221478277	1497	60	972054583961821185	石塚朱莉
akb48cafe	377381265	4719	1	972704933265862656	秋葉原Cafe Shop
akb48cafehkt	530897485	1535	0	819372563025432579	HKT48 Cafe Shop
akb48cafenmb	530970967	1695	0	847633956992188417	NMB48 Cafe Shop
aki_toyonaga	900905253201039360	954	34	972669023564349440	豊永阿紀
akiyoshi_hkt48	900898668005310465	209	2	971692460295438336	秋吉優花
alto_nao	4684332494	1126	44	972323835281268736	古畑奈和
ami_15chans	803489222338351104	342	3	972672018972749824	湯本亜美
aoi_m_531	900948394515939328	453	1	972035076627120128	本村碧唯
araiyuki57	810400454085591040	509	34	972487519504760834	荒井優希
ayaka1o11	2856936326	6907	171	972710172110962688	沖田彩華
ayaka_o1106	857110105707479041	209	3	972422777029328897	岡田彩花
ayana18_48	727095887269261312	965	23	971729426365870080	篠崎彩奈
ayatyeen_luv	2858115487	4663	96	972653463007055872	森田彩花
chan__31	2965563601	1947	17	972034482797658112	峯岸みなみ
chikako_1119	818645080760139776	728	10	972431678449659904	松本慈子
chiyori_n512	3533267894	1163	42	972678391974346753	中西智代梨
daisuki_wan	4312487953	1039	65	972711909827821569	犬塚あさな
dasuwaikaa	4265600599	3243	75	972435444863414273	須田亜香里
egoyuna_329	837487769647656960	518	8	971754347007590400	江籠裕奈
enoki_zzz0112	2859713599	3782	146	972327382932627456	日下このみ
erikonnitiwa11	3801117253	3638	167	972430686937219073	城恵理子
fujitanana_1228	2999387851	2055	16	972035313521516544	藤田奈那
gentosha_asuka	811864986536452096	42	2	956420313700433920	齋藤飛鳥《潮騒》
haruka_kdm919	747611144756465664	245	7	939860716567138305	兒玉遥
harutamchan	3744898693	608	29	971760259952918528	二村春香
